2n1c1m;2n1c2m;2n1c3m;2n2c1m;2n2c3m;2n2c5m;4n1c1m;4n1c4m;4n1c6m;4n2c2m;4n2c6m;4n2c10m;4n3c2m;4n3c8m;4n3c13m;4n4c3m;4n4c10m;4n4c16m;5n1c1m;5n1c5m;5n1c8m;5n2c2m;5n2c8m;5n2c12m;5n3c3m;5n3c10m;5n3c16m;5n4c3m;5n4c13m;5n4c20m;5n5c4m;5n5c15m;5n5c24m;6n1c2m;6n1c6m;6n1c10m;6n2c2m;6n2c9m;6n2c15m;6n3c3m;6n3c12m;6n3c20m;6n4c4m;6n4c15m;6n4c24m;6n5c5m;6n5c18m;6n5c29m;6n6c6m;6n6c21m;6n6c34m;3n1c1m;3n1c3m;3n1c5m;3n2c1m;3n2c5m;3n2c7m;3n3c2m;3n3c6m;3n3c10m
38502;55016;71518;35938;115028;44050;20356;70730;54082;37468;94260;62468;36170;147252;110404;57658;158634;130952;15002;48670;33548;28934;79954;55890;43862;118990;86040;47422;114966;104406;58348;108004;119156;31188;28514;27290;24576;80032;41164;37558;107150;60530;48726;111580;71398;60934;43782;67734;94926;28638;80678;24512;62208;48432;25438;105800;95182;49738;116110;93596
36504;54222;67648;36346;114202;55568;20356;70732;54082;37470;94260;62468;36170;147248;110404;57652;158634;130958;15004;48672;33548;28936;79950;55884;43864;118988;86034;47422;114966;104676;58348;108010;119144;31186;28512;27288;24576;80026;41160;37558;107156;60532;48718;111588;71686;60926;43778;67730;94924;28640;80680;24512;62208;48430;25438;105794;95178;49738;116108;93600
36504;54096;67644;36346;114082;55568;20354;70730;54078;37468;94260;62472;36174;147242;110404;57650;158634;130950;15002;48676;33548;28938;79950;55884;43860;118984;86010;47422;114978;104682;58354;108014;119144;31186;28514;27288;24576;80026;41164;37558;107166;60526;48724;111578;71698;60926;43778;67740;94924;28640;80680;24990;61466;43540;25098;102104;89342;50092;107834;94688
36740;54102;60616;37716;114354;52786;18216;78384;53238;36440;132900;46236;36616;133176;100998;59828;171884;124534;15002;48676;33548;28938;79956;55886;43858;118990;86006;47422;114976;104684;58356;108014;119154;31186;28516;27290;24578;80026;41164;37556;107178;60524;48726;111578;71716;60926;43790;67744;94924;28580;80680;24992;61462;43540;25096;102104;89342;50094;107826;94688
36742;54098;60614;37716;114350;52786;18216;78384;53236;36440;132898;46234;36622;133176;100992;59832;171886;124534;15002;48672;33546;28934;79958;55882;43858;118990;86000;47422;114972;104684;58356;108004;119154;31186;28520;27290;24580;80032;41162;37552;107170;60524;48726;111570;71720;60926;43802;67744;94924;28580;80680;24992;61466;43538;25096;102102;89346;50096;107830;94674
38254;54832;65850;36384;113666;57696;18216;78382;53236;36442;132894;46234;36624;133176;100992;59834;171878;124534;15030;37002;37890;29236;65330;62668;45256;98076;78734;45008;103538;96404;58220;97484;125722;30884;36792;27420;24310;79268;62024;36450;97732;64928;52602;99904;58664;61336;50994;63004;94786;32626;81532;24692;61340;43386;25260;102838;85326;49744;121234;95414
38256;54828;65852;36382;113634;57694;18218;78384;53238;36440;132900;46228;36624;133176;100992;59834;171876;124534;15032;37000;37880;29236;65336;62662;45260;98076;78738;45008;103548;96402;58214;97474;125700;30882;36792;27422;24310;79266;62162;36450;97732;64926;52608;99914;58664;61336;51004;62992;94798;32612;81532;24692;61340;43380;25258;102836;85322;49744;121226;95410
36750;56822;59836;36228;110172;58472;19240;74612;48444;38346;102996;40238;36260;161488;99942;58162;156578;115214;15030;36998;37878;29236;65340;62666;45262;98070;78738;45002;103548;96394;58214;97478;125686;30882;36792;27424;24312;79268;62166;36454;97724;64926;52610;99914;58668;61336;51016;62988;94788;32610;81532;24690;61334;43384;25258;102836;85322;49746;121224;95410
36750;56820;59836;36228;110168;58470;19240;74610;48444;38342;102988;40238;36256;161488;99940;58158;157156;115214;15030;36998;37878;29232;65338;62666;45256;98072;78738;45006;103544;96400;58214;97478;125696;30882;36790;27422;24314;79266;62166;36450;97722;64926;52602;99914;58668;61336;51006;62988;94786;32624;81532;24800;61902;50414;25048;103058;86200;50078;115614;79294
36396;53228;63922;36264;110616;54238;19238;74610;48446;38344;102988;40238;36256;161486;99934;58156;157154;115222;15030;37002;37876;29232;65332;62662;45256;98076;78740;45008;103536;96400;58220;97490;125698;30882;36790;27420;24314;79264;62168;36450;97780;64872;52602;99904;58660;61326;50994;62988;94786;32638;81532;24798;61900;50412;25046;103038;86192;50082;115612;79292
