2n1c1m;2n1c2m;2n1c3m;2n2c1m;2n2c3m;2n2c5m;3n1c1m;3n1c3m;3n1c5m;3n2c1m;3n2c5m;3n2c7m;3n3c2m;3n3c6m;3n3c10m;4n1c1m;4n1c4m;4n1c6m;4n2c2m;4n2c6m;4n2c10m;4n3c2m;4n3c8m;4n3c13m;4n4c3m;4n4c10m;4n4c16m;5n1c1m;5n1c5m;5n1c8m;5n2c2m;5n2c8m;5n2c12m;5n3c3m;5n3c10m;5n3c16m;5n4c3m;5n4c13m;5n4c20m;5n5c4m;5n5c15m;5n5c24m;6n1c2m;6n1c6m;6n1c10m;6n2c2m;6n2c9m;6n2c15m;6n3c3m;6n3c12m;6n3c20m;6n4c4m;6n4c15m;6n4c24m;6n5c5m;6n5c18m;6n5c29m;6n6c6m;6n6c21m;6n6c34m
13500;26000;20500;10500;18500;56400;29100;26300;72800;16199;36201;64601;15500;37500;63800;34700;61500;59900;43100;20200;82000;41100;366500;70100;15200;431500;83200;53300;46200;185200;51900;51100;156900;64700;200600;106800;55700;39500;90400;47000;592100;142300;45500;1245600;202400;59100;304100;147500;58000;394600;166500;67700;43500;142200;67900;629200;;71600;488600;28310300
11900;18300;24900;12700;14600;55400;39700;19799;279699;31800;30600;51300;17799;18800;77500;46200;178000;68200;39200;28600;95600;22900;22100;129000;16500;176100;60400;53800;65800;185200;55600;48300;156900;51400;217400;105600;51200;34800;90400;49900;598400;162100;74800;612600;180100;51400;291600;156700;29300;75400;205500;66500;48000;121700;84100;637100;;68700;527900;122300
17800;17600;21400;40500;12600;29100;21800;48099;72000;11500;21701;40400;20000;5700;59100;34800;88400;54200;38800;32900;126100;34100;48100;142800;14500;133800;63600;55000;191300;185200;22300;58800;136900;50600;166600;114100;54500;53600;90400;55300;39400;142200;53800;1496200;187600;30200;59200;212100;46800;837800;185700;69400;45800;900800;67300;562300;;65900;601100;1478100
15100;33300;24300;8600;4400;48600;44401;91600;60600;25900;36099;46200;13900;119900;59000;36200;56600;54200;40900;41500;97300;39800;20400;140900;40600;246100;64600;53200;60800;185200;45400;135600;120600;51700;55500;86900;23600;74200;90400;54600;508900;112200;29300;807000;183200;30200;45500;212100;81600;409000;171200;70400;364600;143400;61000;705000;;69800;515600;1693300
13400;6600;24000;4800;7000;18500;28000;31500;61100;21400;41801;37200;24300;121700;64901;17100;29600;63000;43400;43300;117600;49200;34500;117400;44900;26400;48300;53700;58900;185200;40900;280400;132900;50900;45800;137800;27700;35600;140400;45900;349500;130500;91700;541900;228700;30200;57700;212100;40900;361900;224200;66700;388800;157800;37000;42700;;67600;502100;1357600
13400;29600;25000;11600;7700;26600;36300;23300;63901;15600;19800;39499;25700;39899;88099;34200;29100;56100;42600;83600;131600;40100;258000;117400;24700;26200;51400;56600;73800;185200;51200;322000;147500;52800;56200;153700;55600;511200;113300;58900;642500;130500;30700;94200;150200;62000;51400;212100;35000;788000;232600;68500;573300;171100;49400;45200;;66100;477700;1444500
22200;44000;21900;10200;13800;65800;14299;37801;58601;12201;77400;54400;37900;47100;63800;39800;69200;81000;43900;151900;115400;36000;164200;76100;28300;29600;94300;56200;;;42400;290400;186100;52200;66100;153700;22100;303300;131100;53500;1182200;130500;47600;90800;161100;66300;47000;212100;54500;293500;;67200;48100;857600;35300;39300;;66700;515200;1359300
3100;47200;18500;11100;5400;74800;20901;26100;112799;11399;32701;43499;16401;31500;72801;42800;116900;55300;41600;229200;175200;38900;164200;124000;16000;23300;150800;54000;159600;110100;55500;56300;207100;58300;55800;153700;38400;37900;122200;39900;865900;;41700;92400;168900;66400;398500;183400;87800;340500;263800;67000;43900;131800;66100;452000;;68000;575800;153900
17400;4300;19500;5700;18200;31100;26901;22200;189600;15699;25000;46000;20901;22400;63399;39700;79400;60500;38300;55700;115600;25000;291400;115100;26900;404200;53500;53600;140600;130200;53500;262400;171100;50900;64000;153700;23200;516200;161600;23600;30200;;59000;65800;168900;64300;298200;157900;28000;260500;263800;59500;49100;115200;70600;527100;;66900;514400;140400
25400;3700;34200;13100;8400;48100;26899;41701;61600;24599;25100;46100;27701;20599;662799;40000;50600;55400;40500;53700;80800;43100;20100;112300;37800;399300;56300;55400;167600;167500;38800;147300;183200;36300;47000;153700;34300;80100;134300;21900;496000;120600;64000;325100;283800;63500;337500;149600;76800;50000;263800;67200;42600;1258800;67200;532400;;66600;448000;159500
12700;5700;29000;13200;24300;36600;30200;24401;58200;12200;21299;41399;33301;18201;285700;42800;29800;79500;42100;106800;71300;39400;248400;112300;41000;313600;79000;55600;54100;124700;48600;172300;111900;50500;47000;143600;40800;40700;181800;22800;463000;143900;31800;279000;283800;71900;347900;166600;66700;305500;263800;69400;40300;1109700;67200;583900;;67200;540300;146600
13400;38100;42400;12200;13400;30600;35501;19601;62700;26300;16599;169501;29700;14900;87600;39900;36500;79500;42000;188800;75300;33700;26300;131400;33600;172400;62900;53600;61200;119700;39500;137900;111900;52900;366800;122400;26400;43000;173600;19500;474400;104700;20000;306200;283800;66300;56900;177300;67100;284600;1093500;67100;47900;262500;67000;506500;;69100;715400;1768300
9500;21900;24000;11600;21600;29800;20900;16400;62500;15300;22700;259900;25301;32399;65799;39100;110400;79500;40100;145900;78200;38800;22900;137500;17200;204400;292900;55600;77300;99500;58200;68000;395300;52700;372100;214500;45900;47000;170800;40900;467300;128700;30400;328000;283800;65300;64200;180900;69300;289800;1018900;72600;381600;149200;66900;653600;;68600;545100;1846800
15000;8000;17500;15600;12900;33700;27601;30700;61100;25901;25399;206800;15700;10599;65600;38300;41800;79500;41500;27800;85100;35900;23100;105100;28000;18900;50500;55000;97900;123500;40900;42800;395300;65300;447900;135100;52100;664200;170800;21500;575400;184500;28200;558800;221100;59000;147400;157800;70200;52500;185600;67300;380100;191300;66900;591100;;68400;462900;1134200
26400;26600;23200;5600;14500;26300;10201;28799;67501;27901;29901;54200;15000;96001;58101;40600;33500;79500;41300;47800;204600;41400;50500;141600;34000;18300;66200;53600;199200;116300;54000;898600;395300;62300;766100;93000;21900;270900;170800;25000;1061000;153000;28700;100100;330300;64000;69100;174800;65900;452900;183100;66800;375700;173000;68600;408100;;66500;485300;1634200
